z,n,symbol,radius,unc_r,half_life,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date
0,1,n,-0.1149,0.0027,613.9,6,s,613.9,0.6,B-,100,,,,,,,,0,0,1008664.916,0.00047,8071.31806,0.00044,N,,31-Oct-05,BALRAJ SINGH,10/18/2023
0,4,n,,,2.6,,MeV,1.75E-22,0,,,,,,,,,,,,,,,,,,30-Aug-17,J.E. Purcell and  C.G. Sheu,10/18/2023
0,6,n,,,,,,,,,,,,,,,,,,,,,,,,,15-Mar-17,J.H. Kelley and  G.C. Sheu,10/18/2023
1,0,H,0.8783,0.0086,STABLE,,,,,,,,,,,,,,0,0,1007825.032,0.000014,7288.971064,0.000013,N,1920,31-Oct-05,BALRAJ SINGH,10/18/2023
1,1,H,2.1421,0.0088,STABLE,,,,,,,,,,,,,,1112.2831,0.0002,2014101.778,0.000015,13135.7229,0.000015,N,1932,1-May-03,J.H. KELLEY and  J.L. GODWIN,10/18/2023
1,2,H,1.7591,0.0363,12.32,2,Y,388781328,631138.5195,B-,100,,,,,,,,2827.2654,0.0003,3016049.281,0.00008,14949.8109,0.00008,N,1934,30-Jun-15,J.E. Purcell{+#} and  C.G. Sheu{+*},10/18/2023
1,3,H,,,,,,,,N,100,,,,,,,,1720.4491,25,4026431.867,107.354,24621.129,100,N,1981,8-Oct-91,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,10/18/2023
1,4,H,,,5.3,4,MeV,8.61E-23,6.50E-24,2N,100,,,,,,,,1336.3592,17.8885,5035311.492,96.02,32892.447,89.443,N,1987,28-Feb-19,J.E. Purcell and  C.G. Sheu,10/18/2023
1,5,H,,,1.55,44,MeV,2.94E-22,8.36E-23,,,,,,,,,,961.6395,42.3545,6044955.437,272.816,41875.725,254.127,N,1984,23-Mar-17,J.E. Purcell and  C.G. Sheu,10/18/2023
1,6,H,,,0.09,88,MeV,5.07E-21,2.82E-20,,,,,,,,,,940,143,7052749,1078,49135,1004,Y,2003,23-Mar-17,J.E. Purcell and  C.G. Sheu,10/18/2023
2,1,He,1.9661,0.003,STABLE,,,,,,,,,,,,,,2572.68044,0.00015,3016029.322,0.00006,14931.21888,0.00006,N,1934,30-Jun-15,J.E. Purcell{+#} and  C.G. Sheu{+*},10/18/2023
2,2,He,1.6755,0.0028,STABLE,,,,,,,,,,,,,,7073.9156,0.0002,4002603.254,0.00016,2424.91587,0.00015,N,1908,8-Oct-91,J. H. KELLEY and  D. R. TILLEY and  H.R. WELLER AND G.M. HALE,10/18/2023
2,3,He,,,0.648,,MeV,7.04E-22,0,N,,,,,,,,,5512.1325,4,5012057.224,21.47,11231.234,20,N,1937,23-Aug-01,X. HU and  D.R.TILLEY and  J.H.KELLEY,10/18/2023
2,4,He,2.066,0.0111,806.7,15,ms,0.8067,0.0015,B-,100,,,,,,,,4878.5199,0.0089,6018885.889,0.057,17592.095,0.053,N,1936,23-Aug-01,HU and  TILLEY and  KELLEY et al.,10/18/2023
2,5,He,,,150,20,keV,3.04E-21,4.06E-22,N,,,,,,,,,4123.0578,1.0799,7027990.652,8.115,26073.128,7.559,N,1967,23-Aug-01,HU and  TILLEY and  KELLEY and  GODWIN et al.,10/18/2023
2,6,He,1.9239,0.0306,119.1,12,ms,0.1191,0.0012,B-,100,,B-N,16,1,,,,3924.521,0.0111,8033934.388,0.095,31609.683,0.089,N,1965,31-Mar-04,D.R. Tilley and  J.H. Kelley and  J.L. Godwin and  D.J Millener et al.,10/18/2023
2,7,He,,,,,,,,N,100,,,,,,,,3349.038,5.2018,9043946.414,50.259,40935.826,46.816,N,1987,31-Mar-04,J.H. KELLEY and  C.G. SHEU and  J.L. GODWIN and  ET AL.,10/18/2023
